sample.id,embryo_mortality,hatch_year
AL101,1,2001
AL102,1,2002
AL103,1,2002
AL114,1,2004
AL119,1,2004
AL120,1,2004
AL121,1,2004
AL124,1,2004
AL125,1,2004
AL127,1,2005
AL129,1,2005
AL133,1,2005
AL134,1,2006
AL137,1,2006
AL138,1,2007
AL141,1,2007
AL142,1,2007
AL143,1,2007
AL146,1,2008
AL149,1,2008
AL153,1,2009
AL155,1,2009
AL156,1,2009
AL159,1,2010
AL160,1,2010
AL162,1,2010
AL166,1,2010
AL170,1,2010
AL173,1,2011
AL174,1,2011
AL175,1,2011
AL176,1,2011
AL177,1,2011
AL178,1,2011
AL180,1,2011
AL181,1,2011
AL182,1,2011
AL184,1,2011
AL185,1,2011
AL187,1,2011
AL189,1,2011
AL193,1,2012
AL196,1,2012
AL197,1,2012
AL199,1,2012
AL200,1,2012
AL201,1,2012
AL204,1,2012
AL207,1,2012
AL208,1,2012
AL209,1,2013
AL210,1,2013
AL213,1,2013
AL215,1,2013
AL216,1,2013
AL220,1,2014
AL223,1,2014
AL231,1,2015
AL238,1,2015
AL241,1,2016
AL242,1,2016
AL243,1,2016
AL244,1,2016
AL246,1,2016
AL254,1,2016
AL255,1,2016
AL256,1,2016
AL263,1,2016
AL266,1,2016
AL269,1,2016
AL272,1,2017
AL273,1,2017
AL274,1,2017
AL276,1,2017
AL278,1,2017
AL279,1,2017
AL283,1,2017
AL284,1,2017
AL288,1,2017
AL292,1,2017
AL300,1,2017
AL303,1,2017
AL304,1,2017
AL307,1,2018
AL309,1,2018
AL313,1,2018
AL32,1,1989
AL35,1,1992
AL75,1,1997
AL82,1,1997
AL86,1,1998
AL88,1,1999
AL91,1,2000
AL92,1,2000
AL95,1,2001
AL97,1,2001
AL99,1,2001
K1423,0,2014
K1461,0,2014
K1542,0,2015
K1544,0,2015
K1567,0,2015
K1579,0,2015
K1580,0,2015
K1583,0,2015
K1603,0,2016
K1606,0,2016
K1608,0,2016
K16100,0,2016
K1614,0,2016
K1617,0,2016
K1618,0,2016
K1623,0,2016
K1627,0,2016
K1632,0,2016
K1640,0,2016
K1650,0,2016
K1660,0,2016
K1663,0,2016
K1665,0,2016
K1669,0,2016
K1672,0,2016
K1680,0,2016
K1684,0,2016
K1693,0,2016
K1696,0,2016
K17007,0,2017
K17008,0,2017
K17010,0,2017
K17013,0,2017
K17014,0,2017
K17025,0,2017
K17028,0,2017
K17030,0,2017
K17032,0,2017
K17033,0,2017
K17034,0,2017
K17035,0,2017
K17037,0,2017
K17040,0,2017
K17042,0,2017
K17044,0,2017
K17045,0,2017
K17048,0,2017
K17052,0,2017
K17053,0,2017
K17056,0,2017
K17062,0,2017
K17064,0,2017
K17073,0,2017
K17077,0,2017
K17078,0,2017
K17081,0,2017
K17083,0,2017
K17087,0,2017
K17091,0,2017
K17094,0,2017
K17098,0,2017
K17099,0,2017
K17101,0,2017
K17102,0,2017
K17103,0,2017
K17104,0,2017
K17106,0,2017
K18010,0,2018
K18017,0,2018
K18019,0,2018
K18022,0,2018
K18034,0,2018
K18078,0,2018
K18083,0,2018
K18084,0,2018
K18091,0,2018
K19018,0,2019
K19019,0,2019
