Sample_FormattedSB,Sample,UniqueID,SampleType,Hatch date,Death date; blank = alive,lifespan,hatch_year,Total no. of nestlings,Total no. of nestlings through 2017,Total no. of nestlings from 2018-2021,Total no. of nestlings from 2022-2024,Notes,status,FROH_1Mb,FROH_10Mb,Fped,DLG1,NEO1
AL101,AL101,101,Bird,7/8/01,2/26/24,8268,2001,0,,,,F never laid an egg,1,0.3082501,0.062884719,0.2188,1,0
AL102,AL102,102,Bird,5/13/02,6/11/16,5143,2002,0,,,,,1,0.3628969,0.106878357,0.1953,0,0
AL103,AL103,103,Bird,6/2/02,5/26/23,7663,2002,0,,,,F on Lupron from 2016 onward (est.),1,0.2647383,0.038365772,0.0938,1,0
AL114,AL114,114,Bird,5/12/04,,7713,2004,15,15,0,0,,0,0.4305994,0.103211548,0.1953,0,0
AL119,AL119,119,Bird,6/2/04,2/14/22,6466,2004,0,,,,,1,0.1831786,0.028606817,0,0,0
AL120,AL120,120,Bird,6/3/04,9/9/18,5211,2004,1,1,0,0,,1,0.3332314,0.092312627,0.1953,0,0
AL121,AL121,121,Bird,6/4/04,,7690,2004,5,5,0,0,,0,0.3668415,0.103784763,0.1953,0,1
AL124,AL124,124,Bird,6/8/04,,7686,2004,6,4,2,0,,0,0.3617408,0.146159937,0.1953,0,1
AL125,AL125,125,Bird,6/21/04,10/1/17,4850,2004,25,25,0,0,,1,0.1724835,0.017672351,0,0,0
AL127,AL127,127,Bird,5/22/05,12/28/22,6429,2005,0,,,,,1,0.3151122,0.052435192,0.1641,1,0
AL129,AL129,129,Bird,5/24/05,2/26/24,6852,2005,21,21,0,0,,1,0.2869249,0.076737522,0.1641,1,1
AL133,AL133,133,Bird,7/4/05,3/7/20,5360,2005,5,5,0,0,,1,0.331425,0.187169974,0.1641,1,0
AL134,AL134,134,Bird,5/25/06,,6970,2006,2,1,0,1,,0,0.3933053,0.214819019,0.1641,,
AL137,AL137,137,Bird,6/26/06,,6938,2006,3,3,0,0,,0,0.1991146,0.061389425,0,,0
AL138,AL138,138,Bird,6/6/07,,6593,2007,17,15,1,1,,0,0.2134994,0.027505538,0.1641,1,1
AL141,AL141,141,Bird,6/26/07,3/29/25,6486,2007,0,,,,,1,0.2376524,0.067342829,0,1,0
AL142,AL142,142,Bird,7/16/07,6/26/19,4363,2007,15,15,0,0,,1,0.1826684,0.009724716,0,1,0
AL143,AL143,143,Bird,7/18/07,4/3/23,5738,2007,3,1,2,0,,1,0.2557031,0.083008392,0,1,0
AL146,AL146,146,Bird,6/15/08,,6218,2008,19,15,3,1,,0,0.2687955,0.080399318,0.0732,1,1
