Species,pi,IUCN,Island,Coverage,Reference,DOI
Floreana mockingbird,4.30E-05,EN,y,24.8,Vlček et al. 2025,﻿https://doi.org/10.1111/mec.17665
Brown eared pheasant,0.0000873,VU,n,19,Wang et al. 2021,﻿doi:10.1093/molbev/msaa213
Seychelles magpie robin,0.00015,EN,y,14,Cavill et al. 2021,﻿doi: 10.1111/ibi.13023
Seychelles flycatcher,0.00024,VU,y,﻿9.2,Femerling et al. 2022,﻿https://doi.org/10.1093/molbev/msad256
White tailed eagle,4.00E-04,LC,n,?,Li et al 2014,https://doi.org/10.1186/s13059-014-0557-1
Crested ibis,0.00043,EN,n,20,Li et al 2014,https://doi.org/10.1186/s13059-014-0557-1
Bald eagle,4.30E-04,LC,n,?,Li et al 2014,https://doi.org/10.1186/s13059-014-0557-1
Kakapo,0.0005,CR,y,﻿15.3,Dussex et al. 2022,﻿https://doi.org/10.1016/j.xgen.2021.100002
Chatham Island robin,0.00053,VU,y,15,von Seth et al. 2022,﻿https://doi.org/10.1186/s12864-022-08963-1
Dalmatian pelican,6.00E-04,NT,n,?,Li et al 2014,https://doi.org/10.1186/s13059-014-0557-1
Swinhoe's pheasant,6.00E-04,NT,y,20,Xu et al 2023,https://doi.org/10.1111/1755-0998.13896
Peregrine falcon,7.00E-04,LC,n,106.72,Zhan et al. 2013,https://doi.org/10.1038/ng.2588
Andean condor,0.00075,VU,n,38.3,Robinson et al. 2021,﻿https://doi.org/10.1016/j.cub.2021.04.035
Saker falcon,8.00E-04,EN,n,113.51,Zhan et al. 2013,https://doi.org/10.1038/ng.2588
Blue eared pheasant,8.25E-04,LC,n,19,Wang et al. 2021,﻿doi:10.1093/molbev/msaa213
Kea,9.10E-04,EN,y,?,Li et al 2014,https://doi.org/10.1186/s13059-014-0557-1
Akeke'e,0.001119856,CR,y,14.6,this study,-
Berthelot's pipit,0.0013,LC,y,23.6,Martin et al. 2023,﻿DOI: 10.1111/mec.16865
Galapagos mockingbird,1.30E-03,LC,y,24.8,Vlček et al. 2025,﻿https://doi.org/10.1111/mec.17665
California condor,0.00134,CR,n,68.5,Robinson et al. 2021,﻿https://doi.org/10.1016/j.cub.2021.04.035
Turkey vulture,0.00137,LC,n,25.3,Robinson et al. 2021,﻿https://doi.org/10.1016/j.cub.2021.04.035
Great black cormorant,1.39E-03,LC,n,?,Li et al 2014,https://doi.org/10.1186/s13059-014-0557-1
Great bustard,0.0014,VU,n,61,Luo et al. 2023,﻿https://doi.org/10.1038/s42003-023-05137-x
Zebra finch,1.40E-03,LC,n,?,Warren et al. 2010,https://doi.org/10.1038/nature08819
Carolina parakeet,0.0015,EX,n,13.4,Gelabert et al. 2020,﻿https://doi.org/10.1016/j.cub.2019.10.066
Kiwi,1.50E-03,VU,y,?,Li et al 2014,https://doi.org/10.1186/s13059-014-0557-1
Akiapolaau,0.00172,EN,y,134,Campana et al. 2020,﻿doi:10.1093/jhered/esz057
Akikiki,0.0018787,CR,y,17.2,this study,-
Pied flycatcher,2.00E-03,LC,n,5,﻿Nadachowska-Brzyska et al. 2013,﻿10.1371/journal.pgen.1003942
Kori bustard,0.0022,LC,n,?,Luo et al. 2023,﻿https://doi.org/10.1038/s42003-023-05137-x
Little egret,0.00251,LC,n,24,Li et al 2014,https://doi.org/10.1186/s13059-014-0557-1
Po'ouli,0.002858961,EX,y,17.5,this study,-
MacQueen's bustard,0.0029,VU,n,?,Luo et al. 2023,﻿https://doi.org/10.1038/s42003-023-05137-x
Red-crested korhaan,0.0037,VU,n,?,Luo et al. 2023,﻿https://doi.org/10.1038/s42003-023-05137-x
Collared flycatcher,3.80E-03,LC,n,5,﻿Nadachowska-Brzyska et al. 2013,﻿10.1371/journal.pgen.1003942
Band-tailed pigeon,0.004,LC,n,25,Murray et al. 2017,﻿DOI: 10.1126/science.aao0960
Amakihi,0.00413,LC,y,60,Campana et al. 2020,﻿doi:10.1093/jhered/esz057
Budgerigar,4.31E-03,LC,n,?,Li et al 2014,https://doi.org/10.1186/s13059-014-0557-1
Silver pheasant,4.60E-03,LC,n,20,Xu et al 2023,https://doi.org/10.1111/1755-0998.13896
Tawny pipit,0.0047,LC,n,23.6,Martin et al. 2023,﻿DOI: 10.1111/mec.16865
Passenger pigeon,0.008,EX,n,34.75,Murray et al. 2017,﻿DOI: 10.1126/science.aao0960
Alala,0.00046,EW,y,,,
