chrom	window_start	sites_total	calls_AL101	calls_AL102	calls_AL103	calls_AL114	calls_AL119	calls_AL120	calls_AL121	calls_AL124	calls_AL125	calls_AL127	calls_AL129	calls_AL133	calls_AL134	calls_AL137	calls_AL138	calls_AL141	calls_AL142	calls_AL143	calls_AL146	calls_AL149	calls_AL153	calls_AL155	calls_AL156	calls_AL159	calls_AL160	calls_AL162	calls_AL166	calls_AL170	calls_AL173	calls_AL174	calls_AL175	calls_AL176	calls_AL177	calls_AL178	calls_AL180	calls_AL181	calls_AL182	calls_AL184	calls_AL185	calls_AL187	calls_AL189	calls_AL193	calls_AL196	calls_AL197	calls_AL199	calls_AL200	calls_AL201	calls_AL204	calls_AL207	calls_AL208	calls_AL209	calls_AL210	calls_AL213	calls_AL215	calls_AL216	calls_AL220	calls_AL223	calls_AL231	calls_AL238	calls_AL241	calls_AL242	calls_AL243	calls_AL244	calls_AL246	calls_AL254	calls_AL255	calls_AL256	calls_AL263	calls_AL266	calls_AL269	calls_AL272	calls_AL273	calls_AL274	calls_AL276	calls_AL278	calls_AL279	calls_AL283	calls_AL284	calls_AL288	calls_AL292	calls_AL300	calls_AL303	calls_AL304	calls_AL307	calls_AL309	calls_AL313	calls_AL32	calls_AL35	calls_AL75	calls_AL82	calls_AL86	calls_AL88	calls_AL91	calls_AL92	calls_AL95	calls_AL97	calls_AL99	calls_K1423	calls_K1461	calls_K1542	calls_K1544	calls_K1567	calls_K1579	calls_K1580	calls_K1583	calls_K1603	calls_K1606	calls_K1608	calls_K16100	calls_K1614	calls_K1617	calls_K1618	calls_K1623	calls_K1627	calls_K1632	calls_K1640	calls_K1650	calls_K1660	calls_K1663	calls_K1665	calls_K1669	calls_K1672	calls_K1680	calls_K1684	calls_K1693	calls_K1696	calls_K17007	calls_K17008	calls_K17010	calls_K17013	calls_K17014	calls_K17025	calls_K17028	calls_K17030	calls_K17032	calls_K17033	calls_K17034	calls_K17035	calls_K17037	calls_K17040	calls_K17042	calls_K17044	calls_K17045	calls_K17048	calls_K17052	calls_K17053	calls_K17056	calls_K17062	calls_K17064	calls_K17073	calls_K17077	calls_K17078	calls_K17081	calls_K17083	calls_K17087	calls_K17091	calls_K17094	calls_K17098	calls_K17099	calls_K17101	calls_K17102	calls_K17103	calls_K17104	calls_K17106	calls_K18010	calls_K18017	calls_K18019	calls_K18022	calls_K18034	calls_K18078	calls_K18083	calls_K18084	calls_K18091	calls_K19018	calls_K19019	hets_AL101	hets_AL102	hets_AL103	hets_AL114	hets_AL119	hets_AL120	hets_AL121	hets_AL124	hets_AL125	hets_AL127	hets_AL129	hets_AL133	hets_AL134	hets_AL137	hets_AL138	hets_AL141	hets_AL142	hets_AL143	hets_AL146	hets_AL149	hets_AL153	hets_AL155	hets_AL156	hets_AL159	hets_AL160	hets_AL162	hets_AL166	hets_AL170	hets_AL173	hets_AL174	hets_AL175	hets_AL176	hets_AL177	hets_AL178	hets_AL180	hets_AL181	hets_AL182	hets_AL184	hets_AL185	hets_AL187	hets_AL189	hets_AL193	hets_AL196	hets_AL197	hets_AL199	hets_AL200	hets_AL201	hets_AL204	hets_AL207	hets_AL208	hets_AL209	hets_AL210	hets_AL213	hets_AL215	hets_AL216	hets_AL220	hets_AL223	hets_AL231	hets_AL238	hets_AL241	hets_AL242	hets_AL243	hets_AL244	hets_AL246	hets_AL254	hets_AL255	hets_AL256	hets_AL263	hets_AL266	hets_AL269	hets_AL272	hets_AL273	hets_AL274	hets_AL276	hets_AL278	hets_AL279	hets_AL283	hets_AL284	hets_AL288	hets_AL292	hets_AL300	hets_AL303	hets_AL304	hets_AL307	hets_AL309	hets_AL313	hets_AL32	hets_AL35	hets_AL75	hets_AL82	hets_AL86	hets_AL88	hets_AL91	hets_AL92	hets_AL95	hets_AL97	hets_AL99	hets_K1423	hets_K1461	hets_K1542	hets_K1544	hets_K1567	hets_K1579	hets_K1580	hets_K1583	hets_K1603	hets_K1606	hets_K1608	hets_K16100	hets_K1614	hets_K1617	hets_K1618	hets_K1623	hets_K1627	hets_K1632	hets_K1640	hets_K1650	hets_K1660	hets_K1663	hets_K1665	hets_K1669	hets_K1672	hets_K1680	hets_K1684	hets_K1693	hets_K1696	hets_K17007	hets_K17008	hets_K17010	hets_K17013	hets_K17014	hets_K17025	hets_K17028	hets_K17030	hets_K17032	hets_K17033	hets_K17034	hets_K17035	hets_K17037	hets_K17040	hets_K17042	hets_K17044	hets_K17045	hets_K17048	hets_K17052	hets_K17053	hets_K17056	hets_K17062	hets_K17064	hets_K17073	hets_K17077	hets_K17078	hets_K17081	hets_K17083	hets_K17087	hets_K17091	hets_K17094	hets_K17098	hets_K17099	hets_K17101	hets_K17102	hets_K17103	hets_K17104	hets_K17106	hets_K18010	hets_K18017	hets_K18019	hets_K18022	hets_K18034	hets_K18078	hets_K18083	hets_K18084	hets_K18091	hets_K19018	hets_K19019
NC_063218.1	1	623867	622325	622855	622570	621094	620389	621764	619530	622023	621956	622445	618589	622713	61875	350088	621616	622847	616227	621470	622644	447671	292875	622606	460516	621071	621948	620678	620734	621849	620037	610738	620470	594136	619674	278841	620370	120921	620484	621370	621459	621273	621456	621184	619955	621766	620949	621338	620310	605048	620355	457655	620697	622653	619486	616624	620425	587369	523093	622622	620809	459326	491318	621508	610657	621354	622470	378787	457648	622879	622447	622660	622898	421990	622397	621516	431812	622351	622906	621728	622511	590298	620971	435639	476810	620991	621791	622876	622582	619898	622809	622021	622829	622086	622675	622985	622769	622253	622493	612113	614565	622109	613134	622481	622785	619200	622303	559145	621769	603297	392712	602721	621916	620445	408976	524172	620746	610379	614563	510079	564051	603224	622729	622818	622622	623289	617542	621294	621323	299021	623307	510328	619788	615343	622179	621063	616727	621941	620004	602554	620599	571569	620867	617232	623577	621091	623143	622654	594131	622016	619468	620553	621659	621938	622556	622701	622943	621009	582427	618292	621925	621535	617982	599464	621523	608611	620323	622211	616815	620684	574839	619761	616851	620773	586047	620603	610357	2	238	568	568	572	558	395	236	597	3	1	2	0	0	565	603	4	585	568	162	74	237	1	234	567	4	227	217	563	418	540	408	3	182	576	64	218	549	548	4	234	234	2	556	1	233	546	555	536	336	2	4	404	2	204	226	479	235	236	1	2	3	234	5	5	0	2	2	558	237	597	147	2	4	342	4	181	600	559	541	226	356	408	224	588	566	3	541	210	598	207	593	206	206	103	209	566	504	583	1	522	570	2	543	2	2	3	555	297	221	6	2	3	2	551	408	7	469	2	3	1	264	4	566	4	4	552	0	1	451	5	3	4	1	5	229	5	451	580	3	7	235	203	545	206	235	228	6	2	235	206	553	275	235	602	7	225	2	235	573	3	6	241	4	551	563	568	234	6	561	556	4	2	575	203
NC_063218.1	1000001	675017	674024	674141	674012	657458	671771	673193	671339	673525	672866	672300	672859	673911	72734	354718	671225	674013	669213	673023	673882	392297	235253	673264	423731	672695	671695	672559	671953	673364	649232	668003	672173	657582	658548	194797	672373	87072	672713	672028	673150	671617	672819	672405	672051	673278	672044	672879	671491	663062	671679	448330	672531	673828	671795	668014	672549	670945	498841	673856	671127	461981	529829	672509	666261	672282	673025	305826	448995	674064	673466	674045	674068	362937	673908	672368	425214	672025	674245	671638	673627	663261	672715	415342	592890	673020	673028	674199	674104	671910	673994	674057	674246	673986	673882	674276	673673	673810	673878	665316	667126	672778	667143	674209	673344	670401	673208	628763	671806	657894	489722	648311	671670	672483	503152	594083	672061	660606	666003	562530	631986	652096	672849	673829	673459	674383	669278	673041	672654	369281	674394	584098	669734	665841	673487	671919	668227	673327	671844	659342	672706	623834	672282	668642	674380	671665	672955	673710	635222	673698	670875	671119	673015	673501	673887	673566	674388	671674	635305	670199	673234	671743	669514	628967	671939	659872	671671	673151	668224	672411	634653	671590	668563	671497	652469	672213	663245	13	615	708	699	634	708	591	612	642	3	3	3	5	115	362	639	412	627	361	274	121	540	2	261	664	434	586	454	337	643	381	370	5	96	644	73	457	699	345	266	566	599	213	363	4	603	648	347	649	196	4	2	615	457	192	618	278	611	610	4	127	6	606	5	64	1	52	117	359	534	113	29	3	10	295	37	4	647	359	349	592	226	220	607	625	360	3	675	799	739	673	367	672	664	702	667	713	301	621	35	314	361	10	294	3	16	177	360	212	576	8	379	38	2	676	648	9	285	2	7	4	458	5	677	5	469	353	4	4	463	7	439	8	3	14	324	108	313	371	5	19	613	676	344	666	232	571	115	6	598	204	618	194	484	645	7	464	598	623	714	610	473	640	115	347	665	366	599	95	662	353	6	337	632	551
NC_063218.1	2000001	724191	723152	723075	723295	714414	720986	722417	720594	722580	722168	722345	704315	723145	94866	416592	720483	723670	718036	722153	723382	396736	295505	722902	441415	721802	721171	722399	721850	722585	709721	687047	721307	682276	716819	262322	721827	128515	721770	721639	722246	720968	721843	721545	721196	722479	721920	722135	721010	670829	721210	446099	721581	723140	721321	715727	721848	649865	531385	722602	720574	441377	540030	722774	699326	722471	723486	317490	456515	723242	722709	722952	723411	396399	723182	722716	392830	722608	723521	720997	723010	645996	721744	436989	551364	721966	722623	722987	723314	721014	723401	722939	723297	723070	722963	723278	722417	722957	723035	713524	712942	722368	713434	723576	722332	719616	722700	642690	722013	701546	430188	696948	722616	721837	485042	613789	721894	705426	719276	564014	647347	700857	722625	722767	723002	723895	719732	722365	722442	420098	723631	584494	721390	708706	722900	722080	716219	722263	722141	695694	721797	652875	723163	715133	723477	721797	722754	723090	673473	723402	720237	720236	722327	722885	723353	723014	723490	722566	650289	717085	722505	720575	712901	686272	722013	700610	720897	721968	710043	721685	647473	719250	716566	721462	670366	721494	711825	0	544	654	623	619	543	660	635	683	5	0	22	0	226	85	679	640	444	207	323	182	0	210	82	683	664	135	502	238	320	77	650	83	11	623	98	499	204	85	85	484	374	652	90	0	522	657	207	644	35	0	489	669	11	635	301	211	374	635	108	1	203	624	238	204	1	65	85	86	0	407	194	22	221	269	207	0	619	80	0	657	334	0	665	676	633	0	641	676	683	697	243	652	660	586	693	576	75	654	63	10	87	7	0	0	219	95	8	230	601	240	625	33	19	647	622	206	16	0	11	85	680	22	577	238	654	97	37	0	267	196	496	6	235	95	30	81	84	22	24	179	628	700	342	634	0	586	394	0	673	136	20	640	487	146	200	439	633	617	689	630	638	598	21	363	677	82	619	80	682	86	171	579	643	578
NC_063218.1	3000001	798188	797158	796828	797444	796189	795114	796547	795142	796432	796766	796974	797548	796853	61737	355932	796678	797545	792755	796421	797413	264770	203578	797315	323325	796022	796707	796796	795435	796633	794897	795902	795772	796912	795614	155772	796156	66864	796004	796209	796607	796353	796233	796152	795410	796795	795900	796106	795299	791484	795172	380901	795361	797244	795962	794875	795965	797562	464857	796745	796134	338734	538802	796756	789492	796209	797363	222572	394469	797442	796581	796993	797547	312502	797267	796855	295981	797213	797632	796862	797354	794811	795718	361902	617561	796454	796682	797433	797401	795327	797394	796915	797593	797321	797186	797669	797381	797369	797160	786899	784730	796762	789289	797544	797023	794027	796820	710402	796655	779051	632361	761638	797110	795325	472262	600428	796072	778606	792353	594046	706288	766314	797105	797154	796925	797875	793503	796486	796172	319132	797616	605017	794422	786929	796904	796207	793739	796540	795666	779286	796489	718492	797205	789578	797831	795873	797356	796940	746013	797309	794580	795882	796509	796963	797077	797126	797680	796615	750635	789799	796249	793874	788441	763402	795905	771098	794737	796035	788733	795662	715327	793466	786740	795765	773240	794721	786344	0	0	528	525	506	525	628	526	272	0	513	389	0	82	648	271	269	491	779	121	94	0	149	630	779	422	636	278	448	394	382	456	387	38	513	31	162	0	386	394	282	441	442	392	500	471	442	614	409	140	1	527	537	488	523	1	177	489	649	141	145	456	645	444	454	0	200	382	394	502	451	60	394	458	68	456	0	533	1	504	511	152	0	449	267	564	0	507	451	625	722	491	528	532	421	721	418	369	439	2	451	169	507	481	0	384	395	0	469	600	451	636	165	275	442	510	479	0	0	480	382	548	391	454	253	524	382	123	509	327	443	384	0	266	375	224	376	341	364	1	253	328	701	511	595	0	308	503	23	442	498	392	543	523	0	452	486	323	517	452	320	724	515	25	377	321	389	518	325	316	380	257	315	197	559
NC_063218.1	4000001	797390	796627	796534	796738	794930	794418	795904	794607	795753	795977	796011	796727	796163	53673	319261	795316	796813	792593	795801	796631	192902	181490	796243	260271	795340	795635	795906	794807	796163	792530	795389	795192	797015	794506	125817	795357	57195	795612	795345	795856	795521	795839	795463	794998	796052	794881	795640	794641	792917	794511	327237	795047	796588	795328	794448	795643	796597	439098	796168	795060	275291	514424	796074	791170	795292	796519	164368	341537	796618	795549	796291	796839	249345	796413	796124	242727	796418	796778	795640	796587	794916	794786	302824	611324	795625	795877	796671	796777	794721	796676	796493	796864	796794	796607	796900	796746	796640	796662	789075	782508	795743	790446	796612	796690	795038	796260	702669	796119	775538	686330	751534	795870	795953	431538	569681	796112	778540	791760	559062	699770	758115	796187	796852	795809	797072	793730	795720	795596	255509	796940	586380	794179	788637	796111	795166	794751	796669	794832	783654	795682	714199	796570	788392	796595	795308	796412	796398	744949	796649	794479	795045	795863	796291	796576	796488	796799	795808	753110	786309	795535	790936	785646	768176	795782	764234	793149	795081	787135	794827	707132	791721	783587	794202	775493	793973	788426	76	0	771	2	597	2	753	2	563	0	715	503	0	140	716	192	480	572	758	113	72	0	3	707	760	2	698	499	646	431	494	664	495	51	693	20	189	0	436	590	494	652	637	497	349	648	642	695	2	131	690	682	653	680	2	714	272	654	754	166	1	693	730	646	656	23	202	793	498	701	660	33	505	692	113	664	0	2	458	705	407	155	0	651	561	769	0	748	729	701	710	654	773	774	586	705	583	535	677	358	323	193	711	678	0	558	500	0	741	668	650	749	195	300	640	738	2	0	165	648	797	662	496	665	180	761	489	140	710	443	672	496	0	186	242	719	476	474	632	325	699	646	0	2	723	0	611	704	692	649	696	495	705	2	0	697	1	632	2	654	635	669	2	616	0	494	484	2	650	495	476	694	614	0	654
NC_063218.1	5000001	811151	810469	810377	810651	807791	808317	809914	808367	809552	809512	809167	810511	809467	64369	312040	808650	810449	807302	809465	810196	212893	200525	810125	259867	809128	808821	809802	808708	809959	803730	809238	809312	810657	806791	156787	808920	73288	809074	809449	809697	808522	809090	809040	809022	809951	808982	809419	808179	804420	808366	314516	808773	810456	809264	810044	809419	810296	421039	809291	808087	274093	480406	809685	801543	808690	810401	180494	330881	810650	809070	810172	810630	249784	810201	809977	258660	809965	810652	808933	810263	808944	808765	302843	565686	809568	809902	810293	810574	808648	810385	810498	810674	810504	810476	810786	810582	810461	810457	802126	788163	809125	801997	810401	810161	808049	810212	681789	809873	780644	668001	748854	809166	809228	417536	550073	809681	788140	803354	528900	676711	763088	809896	810449	809175	810972	807219	809576	809389	251968	810757	549184	807706	799509	809854	809130	808573	810138	808669	795452	809372	709982	810292	798411	810161	809333	810151	810192	741814	810161	807413	808694	809951	810276	810430	810353	810546	809646	748761	794274	809353	799095	792070	780970	809261	757597	807990	806877	792411	808157	687117	802958	792853	806892	779038	806206	799254	769	175	754	284	754	282	576	281	774	695	756	682	0	109	760	540	315	288	551	127	69	0	47	743	550	281	734	525	729	1	56	777	56	14	752	8	457	0	744	726	531	755	740	55	466	766	755	742	275	77	734	783	759	744	285	754	255	770	546	146	97	750	524	748	769	0	205	732	55	741	773	83	681	736	124	777	0	285	304	736	1	174	0	759	765	596	0	732	549	585	755	780	755	757	1	751	1	650	505	674	0	713	758	712	0	591	56	635	569	473	763	533	28	384	757	713	269	2	14	664	729	776	680	775	685	751	724	2	759	430	718	229	0	700	22	550	726	634	749	562	749	292	1	280	760	312	651	750	721	759	739	676	757	284	0	743	264	694	282	740	705	746	275	686	0	475	233	274	550	473	53	727	715	0	700
NC_063218.1	6000001	829612	829123	828941	829163	826083	826864	828209	826836	828046	828114	828318	828572	827753	39619	261588	827906	828706	825931	828120	828980	110215	141331	828670	162105	827859	828486	828474	827263	828326	823584	826610	828055	828341	823937	104556	827948	46760	827875	828050	828088	827815	827194	827866	827348	828623	827351	828038	826973	825984	826888	209399	827486	829070	827902	829070	827844	827909	343205	827226	827839	174441	449281	828018	821687	826867	828997	114262	258938	829183	827567	828589	829078	169507	828805	828341	170345	828753	829246	828421	828752	825303	827360	206328	548472	828170	828123	828849	828966	827317	828772	828716	829200	828902	828908	829230	828616	829026	828957	820590	809140	827796	821497	829100	829077	827118	828697	692635	828745	799737	754853	761118	827463	828626	412519	516099	828532	806144	821806	511356	680279	776066	828769	829347	827434	829395	826229	828005	827492	179576	829244	531807	826239	819737	828264	827691	827985	829141	826563	818355	827783	719792	828812	817529	828609	827603	828634	828599	759696	828847	826406	827502	828333	828565	828824	828871	829215	827918	774691	813240	827619	818914	812982	810286	828228	773618	825000	824810	812465	826527	698173	821318	808981	825456	804314	824414	820017	502	436	846	824	767	840	152	833	787	806	803	768	16	142	229	345	304	319	591	24	31	0	79	231	590	844	228	510	776	558	561	506	542	26	363	17	910	0	385	390	505	493	498	570	579	816	490	365	821	19	795	831	499	812	837	802	126	818	588	72	0	367	551	500	502	0	166	231	559	792	502	115	776	798	103	507	0	848	562	779	548	76	31	496	343	154	0	835	591	155	810	826	853	857	573	807	575	342	550	820	0	793	812	776	0	402	574	800	712	489	497	576	157	395	643	802	784	153	0	706	232	424	767	509	739	833	376	66	804	284	774	140	0	778	0	594	382	324	636	694	363	781	250	805	234	490	454	805	819	650	798	767	367	843	0	783	762	537	838	494	555	804	814	369	0	825	141	362	195	816	521	363	474	1	736
NC_063218.1	7000001	839129	838551	838720	838653	835769	836826	837989	836901	837635	838170	838083	838389	837321	48423	290747	838111	838528	835641	837740	838730	126896	164000	838169	185798	837432	838184	837962	836988	838237	832042	837069	837450	838372	835140	122737	837328	59302	837673	837523	837917	838017	837170	837412	837066	838161	837378	837863	836283	834367	836718	231943	837072	838584	837679	838352	837717	838070	386651	837523	837908	193801	444992	837920	830462	836713	838563	123589	251936	838722	837438	838001	838642	170466	838187	838101	197162	838393	838809	838262	838511	836206	836731	217653	558159	837972	837889	838759	838555	836744	838603	838499	838782	838625	838451	838906	838671	838639	838572	829813	816798	837507	832649	838579	838809	836375	838168	690208	837982	808140	765670	768523	837246	837745	385300	508584	837656	818933	832584	515070	690178	786474	838448	838553	837362	839012	835510	837533	837467	177516	838739	528937	835652	829718	837885	837149	837489	838441	836182	825816	837367	725290	838375	828432	838414	837083	838491	838215	769515	838496	835881	837514	838135	838122	838492	838397	838864	837340	781458	823371	837325	830613	824182	816189	837377	784896	834308	834900	823053	836364	703397	829073	820070	835489	812071	833968	827928	739	782	802	338	696	340	760	337	708	341	341	82	6	124	33	288	35	35	724	5	52	0	48	33	726	337	32	264	529	362	364	740	361	29	3	24	752	0	754	760	261	722	716	373	710	717	721	3	335	108	333	728	717	340	341	332	182	713	723	89	0	3	674	722	736	0	54	33	367	339	738	104	81	339	96	744	0	344	791	324	360	117	392	736	34	786	0	777	719	779	341	721	803	808	373	338	370	677	683	291	1	708	341	329	0	565	371	758	786	613	727	702	94	50	326	742	317	156	0	291	33	1	81	741	670	787	730	55	339	418	319	709	0	698	0	722	723	632	325	231	3	328	342	328	33	731	630	336	758	333	337	82	3	289	0	327	301	669	340	727	685	705	0	3	0	704	698	0	26	696	345	3	669	0	303
NC_063218.1	8000001	835701	835091	835177	834881	833388	831969	833796	832255	833965	833704	833706	834892	834444	55229	341806	833628	835177	831775	833591	835113	170638	186887	834520	222504	833876	834077	834113	832843	834377	830538	833583	833524	834874	832337	142540	833177	63901	833151	833502	833957	833822	833222	833821	833103	833962	833375	833927	832798	832197	832650	273331	833140	834986	833614	835004	833849	834248	418572	834339	833353	248937	486416	833987	827722	833070	834871	153427	303439	835286	833595	834287	835108	218577	834254	834540	256179	834511	835156	833870	834299	833436	832721	254983	574162	833895	834352	835109	835186	832793	834708	834801	835287	835108	835081	835296	835001	834985	835114	824059	812495	833341	825833	834913	834488	831708	834573	703991	833945	805296	741568	769362	832631	832361	409838	527760	833109	813330	826677	540902	697361	787151	834545	834506	833616	835318	830560	833802	833385	212553	835138	554900	831677	827848	834182	833372	831475	833606	832013	818290	833240	732434	833949	823779	834840	832594	834744	834462	767915	834991	831269	832988	834214	833922	834919	834662	835216	833454	783891	819996	833301	822034	822103	812140	833029	783367	830926	831209	818329	831606	711262	827469	816862	831133	807383	830567	822241	545	707	686	282	447	279	615	281	467	157	158	578	2	94	6	458	123	130	472	1	35	1	38	6	471	280	6	296	637	156	157	554	155	11	120	19	432	0	698	701	296	547	539	163	454	396	543	124	279	134	152	403	539	157	272	159	154	392	468	78	3	128	440	535	548	0	32	6	162	154	553	70	578	157	75	556	0	284	492	145	158	105	291	543	128	637	0	671	467	634	159	396	684	687	162	154	158	651	438	402	3	469	160	146	0	427	161	644	612	386	548	462	63	296	153	633	268	93	2	146	5	0	575	550	426	675	686	25	158	319	154	632	0	462	1	471	679	284	154	374	124	155	159	270	5	538	484	158	663	156	158	570	129	0	0	154	257	526	277	543	530	386	0	123	0	383	641	0	6	368	160	127	511	0	150
NC_063218.1	9000001	833199	832662	832762	832824	828012	830569	832035	830578	831193	831474	831263	831538	829332	45175	246581	831446	831943	830620	831713	832623	64086	154854	831873	95458	831591	831728	832099	831028	832270	826442	829182	831554	830161	827154	117669	831494	44920	831235	831582	831839	831442	830411	831513	830723	832088	831312	831551	830724	824530	830540	124584	830977	832537	831543	832819	831616	830278	295151	829134	830961	110618	296581	831796	816523	829412	832345	79702	123477	832940	829652	831853	832680	78167	831935	831990	130347	831946	832914	831605	832501	825237	830389	132183	383299	831913	831652	832752	832698	830913	832718	832622	832911	832629	832657	832845	831868	832639	832711	825412	788553	830373	826650	832662	832261	830798	832163	590999	832274	774079	779125	707964	829438	831994	309353	375232	831842	792805	821898	367457	568494	745591	832443	832570	828795	833029	829891	831422	831426	86138	832893	397163	829835	814201	831912	830865	830881	832638	830074	825131	831316	658397	832468	812478	831745	830872	832687	831843	719567	832510	828538	830603	832017	832324	832584	832358	832484	831608	733269	798689	830113	807882	802284	817825	831514	720341	828144	824142	798189	828875	598740	815403	794031	825238	789930	824715	819983	789	580	643	247	685	257	564	249	695	261	256	670	2	78	1	240	1	1	704	0	72	0	5	1	699	260	1	464	557	255	257	763	235	1	2	16	644	0	575	575	454	781	763	258	679	682	784	2	251	38	251	699	785	259	254	250	123	663	701	46	0	2	616	760	789	0	21	1	256	255	796	39	699	259	37	795	0	258	119	243	250	53	215	778	1	582	0	621	699	580	261	698	641	644	256	259	259	526	627	454	0	696	261	248	1	480	257	550	582	509	778	691	69	222	252	549	235	114	0	219	0	1	683	793	644	628	560	18	259	280	244	697	1	688	0	702	549	217	254	319	4	254	260	242	1	776	618	258	608	255	252	687	3	0	0	255	220	702	258	755	690	678	1	2	0	492	683	0	2	459	233	3	663	0	237
