pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
AL	NC_063213.1	1	100000	0.0003266698524911	70072	1157929	3544646043	1944010
AL	NC_063213.1	100001	200000	0.0002077075769829	84714	914353	4402116732	1974908
AL	NC_063213.1	200001	300000	0.0004233257028182	79469	1761010	4159941124	1757850
AL	NC_063213.1	300001	400000	0.0005689554379151	44804	1195115	2100542363	1782634
AL	NC_063213.1	400001	500000	0.0008759051755347	36984	1454480	1660545046	1711956
AL	NC_063213.1	500001	600000	0.0004747637333201	69578	1686619	3552543890	1826200
AL	NC_063213.1	600001	700000	0.0002732373206757	70906	1010345	3697683016	1615436
AL	NC_063213.1	700001	800000	0.0006815831459669	68764	2501832	3670618933	1303774
AL	NC_063213.1	800001	900000	0.0006634167716047	73853	2613824	3939942600	1401938
AL	NC_063213.1	900001	1000000	0.0005184348931836	58445	1476003	2847036377	1976248
AL	NC_063213.1	1000001	1100000	0.0006827562669085	67436	2423529	3549625419	1434906
AL	NC_063213.1	1100001	1200000	0.0008539243429738	61951	2668413	3124882224	1751318
AL	NC_063213.1	1200001	1300000	0.00069734756194	64711	2383779	3418351379	1332408
AL	NC_063213.1	1300001	1400000	0.0005090065451525	71408	1932798	3797196752	1390832
AL	NC_063213.1	1400001	1500000	0.0004453159469231	48111	1119198	2513267283	1082592
AL	NC_063213.1	1500001	1600000	0.0009015729598546	51644	2389754	2650649594	1323220
AL	NC_063213.1	1600001	1700000	0.0004995805788463	71962	1838016	3679118200	1861836
AL	NC_063213.1	1700001	1800000	0.0007310054934956	72020	2650543	3625886568	2038616
AL	NC_063213.1	1800001	1900000	0.0010223002662572	74049	3800721	3717812785	2128384
AL	NC_063213.1	1900001	2000000	0.0004277887850459	79310	1722166	4025739010	2142304
AL	NC_063213.1	2000001	2100000	0.0003634278053942	72630	1410348	3880682708	1360068
AL	NC_063213.1	2100001	2200000	0.0006937840163336	84238	3022990	4357249416	2020204
AL	NC_063213.1	2200001	2300000	0.00086101536416	78697	3558771	4133225896	1696434
AL	NC_063213.1	2300001	2400000	0.0006471405547364	76574	2608921	4031459597	1622370
AL	NC_063213.1	2400001	2500000	0.0006665849893526	81929	2738725	4108590868	2371858
AL	NC_063213.1	2500001	2600000	0.0006047254504305	81260	2462267	4071710556	2367224
AL	NC_063213.1	2600001	2700000	0.000689505307616	77205	2763143	4007428180	1815122
AL	NC_063213.1	2700001	2800000	0.00027217824701	73970	1007651	3702173157	2170410
AL	NC_063213.1	2800001	2900000	2.7400744950379705e-05	74867	102795	3751540339	2174544
AL	NC_063213.1	2900001	3000000	1.0292544944693736e-05	80508	41157	3998719483	2455818
AL	NC_063213.1	3000001	3100000	0.0002320717943281	75222	830650	3579280293	2797122
AL	NC_063213.1	3100001	3200000	0.0005071566904782	78808	1895356	3737219750	2972932
AL	NC_063213.1	3200001	3300000	0.0004197266469414	77301	1543506	3677407692	2874226
AL	NC_063213.1	3300001	3400000	0.0007657526781437	77488	2869294	3747024440	2689512
AL	NC_063213.1	3400001	3500000	0.0005263876640468	75138	1872446	3557161628	2851076
AL	NC_063213.1	3500001	3600000	0.0006604323373068	80741	2531396	3832937694	3031942
AL	NC_063213.1	3600001	3700000	0.0004379471826564	80912	1712272	3909768273	2814790
AL	NC_063213.1	3700001	3800000	0.000276886696314	79994	1093133	3947943381	2514722
AL	NC_063213.1	3800001	3900000	0.0003038847345756	80886	1204254	3962864412	2638116
AL	NC_063213.1	3900001	4000000	0.000561617382976	81513	2277977	4056101305	2459280
AL	NC_063213.1	4000001	4100000	0.0005871981690453	78756	2393095	4075446972	1885168
AL	NC_063213.1	4100001	4200000	0.0007271358604567	82434	3035564	4174686142	2260184
AL	NC_063213.1	4200001	4300000	0.000725878076364	81451	2953321	4068618541	2415452
AL	NC_063213.1	4300001	4400000	0.0004170108919864	85003	1759686	4219760284	2600710
AL	NC_063213.1	4400001	4500000	0.0006251371098198	84692	2729738	4366622869	2075966
AL	NC_063213.1	4500001	4600000	0.0004696883976225	84907	1999646	4257388537	2462524
AL	NC_063213.1	4600001	4700000	0.0004837661286204	68102	1663721	3439101875	1898334
AL	NC_063213.1	4700001	4800000	0.0006143937133547	85758	2713023	4415772722	2118848
AL	NC_063213.1	4800001	4900000	0.0007979108212008	82391	3409999	4273659298	1938738
AL	NC_063213.1	4900001	5000000	0.000555247629831	83735	2397919	4318647881	2049300
AL	NC_063213.1	5000001	5100000	0.0006943459378133	80346	2661632	3833293831	2970174
AL	NC_063213.1	5100001	5200000	0.0004784423083676	80350	1760376	3679390324	3467660
AL	NC_063213.1	5200001	5300000	0.0005098921502477	84091	2060315	4040687818	3002514
AL	NC_063213.1	5300001	5400000	0.0003724829131649	85815	1540088	4134654089	3022356
AL	NC_063213.1	5400001	5500000	0.0007610491812124	79214	3022970	3972108603	2297614
AL	NC_063213.1	5500001	5600000	0.0001492063012788	81967	618038	4142170905	2277060
AL	NC_063213.1	5600001	5700000	0.0005092451445959	82342	2089065	4102277699	2469598
AL	NC_063213.1	5700001	5800000	0.0008063879096804	82629	3303126	4096199807	2544340
