Chrom,Length
NC_063213.1,99062180
NC_063214.1,123451405
NC_063215.1,121534940
NC_063216.1,80112800
NC_063217.1,76278832
NC_063218.1,66143299
NC_063219.1,40978052
NC_063220.1,38659334
NC_063221.1,33574751
NC_063222.1,28816175
NC_063223.1,23986915
NC_063224.1,23235100
NC_063225.1,22362767
NC_063226.1,23265108
NC_063227.1,21088201
NC_063228.1,17487702
NC_063229.1,16938386
NC_063230.1,15572589
NC_063231.1,12787533
NC_063232.1,13899114
NC_063233.1,13093161
NC_063234.1,8696975
NC_063235.1,7971722
NC_063236.1,11344391
NC_063237.1,7312786
NC_063238.1,46055897
NC_063239.1,6387999
NC_063240.1,7803721
NC_063241.1,3496993
NC_063242.1,22021689
NC_063243.1,4714721
NC_063244.1,736907
NC_063245.1,477022
NC_063246.1,104925
NC_063247.1,1321807
NC_063248.1,1784968
NC_063249.1,336161
NC_063250.1,251864
NC_063251.1,167149
NC_063252.1,337809
NC_063253.1,123330
