pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
AL	NC_063213.1	1	100000	0.0003198739109192	70072	82843	258986423	964754
AL	NC_063213.1	100001	200000	0.0002328646453028	84714	75060	322333173	1052918
AL	NC_063213.1	200001	300000	0.0004359137861707	79469	131016	300554844	1007228
AL	NC_063213.1	300001	400000	0.0005738313316713	44804	77600	135231375	999794
AL	NC_063213.1	400001	500000	0.0008604428726495	36984	89706	104255614	919972
AL	NC_063213.1	500001	600000	0.0004811482128425	69578	122061	253686903	999930
AL	NC_063213.1	600001	700000	0.0002662271117457	70906	71200	267440831	911522
AL	NC_063213.1	700001	800000	0.0006597765251465	68764	180164	273068218	727460
AL	NC_063213.1	800001	900000	0.0006797597378513	73853	196719	289394898	818216
AL	NC_063213.1	900001	1000000	0.0005200908590165	58445	99222	190778204	1122340
AL	NC_063213.1	1000001	1100000	0.0006707927333566	67436	173201	258203453	821886
AL	NC_063213.1	1100001	1200000	0.0007881696293731	61951	172656	219059443	975382
AL	NC_063213.1	1200001	1300000	0.0006487514758737	64711	160244	247003677	792050
AL	NC_063213.1	1300001	1400000	0.0004864271879856	71408	133473	274394613	851262
AL	NC_063213.1	1400001	1500000	0.0004333811787463	48111	79440	183302838	596496
AL	NC_063213.1	1500001	1600000	0.0008840541048433	51644	175319	198312523	627722
AL	NC_063213.1	1600001	1700000	0.0004647284345669	71962	119489	257115750	1085548
AL	NC_063213.1	1700001	1800000	0.0007063668967263	72020	177095	250712485	1165174
AL	NC_063213.1	1800001	1900000	0.0010140866265771	74049	259413	255809507	1220950
AL	NC_063213.1	1900001	2000000	0.0004590978628685	79310	127956	278711818	1251268
AL	NC_063213.1	2000001	2100000	0.0003749219667419	72630	106994	285376717	796278
AL	NC_063213.1	2100001	2200000	0.0007031393407719	84238	214548	305128710	1222244
AL	NC_063213.1	2200001	2300000	0.0008887148028475	78697	264182	297262968	1001964
AL	NC_063213.1	2300001	2400000	0.0006601144467003	76574	196424	297560523	878306
AL	NC_063213.1	2400001	2500000	0.0007026833162965	81929	200173	284869436	1329076
AL	NC_063213.1	2500001	2600000	0.0006317165157697	81260	179719	284493116	1298800
AL	NC_063213.1	2600001	2700000	0.0007704428619298	77205	222011	288160240	1024348
AL	NC_063213.1	2700001	2800000	0.000250739353044	73970	65886	262766890	1136972
AL	NC_063213.1	2800001	2900000	2.401702136166632e-05	74867	6199	258108610	1242224
AL	NC_063213.1	2900001	3000000	9.218271078580954e-06	80508	2520	273370134	1387732
AL	NC_063213.1	3000001	3100000	0.0002637402407539	75222	63850	242094266	1456580
AL	NC_063213.1	3100001	3200000	0.0005766741900724	78808	144984	251414061	1553798
AL	NC_063213.1	3200001	3300000	0.000481879201754	77301	117956	244783339	1545006
AL	NC_063213.1	3300001	3400000	0.0008467763095964	77488	215720	254754411	1437986
AL	NC_063213.1	3400001	3500000	0.0005776732722137	75138	137879	238679902	1494836
AL	NC_063213.1	3500001	3600000	0.0007344096647552	80741	187974	255952514	1612952
AL	NC_063213.1	3600001	3700000	0.0004901190840947	80912	129541	264305154	1520356
AL	NC_063213.1	3700001	3800000	0.0003056066295154	79994	81592	266983737	1430966
AL	NC_063213.1	3800001	3900000	0.0003317481022689	80886	90263	272082943	1424234
AL	NC_063213.1	3900001	4000000	0.00061367630242	81513	170376	277631708	1394036
AL	NC_063213.1	4000001	4100000	0.0006065799697016	78756	177097	291959855	1065002
AL	NC_063213.1	4100001	4200000	0.0007557732859305	82434	220873	292247694	1271340
AL	NC_063213.1	4200001	4300000	0.0007329454054347	81451	206792	282138340	1337436
AL	NC_063213.1	4300001	4400000	0.0004497141907005	85003	131587	292601396	1414892
AL	NC_063213.1	4400001	4500000	0.0006465997111883	84692	200119	309494416	1197576
AL	NC_063213.1	4500001	4600000	0.0004758684782139	84907	142829	300143856	1322628
AL	NC_063213.1	4600001	4700000	0.0004697276083717	68102	113459	241542115	1051050
AL	NC_063213.1	4700001	4800000	0.0005993956225919	85758	187623	313020304	1216096
AL	NC_063213.1	4800001	4900000	0.0007873942783136	82391	240640	305615632	1111828
AL	NC_063213.1	4900001	5000000	0.000578744002332	83735	177265	306292591	1180590
AL	NC_063213.1	5000001	5100000	0.0006842150512072	80346	188672	275749561	1356206
AL	NC_063213.1	5100001	5200000	0.0005050624309378	80350	127200	251850053	1643086
AL	NC_063213.1	5200001	5300000	0.0004957317094124	84091	136612	275576481	1571202
AL	NC_063213.1	5300001	5400000	0.0003615708164896	85815	101009	279361595	1621294
AL	NC_063213.1	5400001	5500000	0.0007995868206247	79214	222787	278627654	1249972
AL	NC_063213.1	5500001	5600000	0.0001555418003723	81967	46458	298684983	1170334
AL	NC_063213.1	5600001	5700000	0.0004961308378739	82342	140910	284017822	1365108
AL	NC_063213.1	5700001	5800000	0.0008045806803472	82629	229555	285310107	1366542
AL	NC_063213.1	5800001	5900000	0.0004389427692095	86069	125243	285328769	1565066
AL	NC_063213.1	5900001	6000000	0.0004401603349362	84744	117125	266096217	1722446
AL	NC_063213.1	6000001	6100000	0.0004790919971037	80353	140457	293173338	1144224
AL	NC_063213.1	6100001	6200000	0.0002551435649345	86821	74254	291028308	1543596
AL	NC_063213.1	6200001	6300000	3.281014755212341e-05	78059	9018	274853991	1227302
AL	NC_063213.1	6300001	6400000	0.0003975970528601	84682	108915	273933117	1627046
AL	NC_063213.1	6400001	6500000	0.0006444682925666	85162	190511	295609578	1391084
AL	NC_063213.1	6500001	6600000	0.0005810957312434	82843	155858	268213982	1585280
AL	NC_063213.1	6600001	6700000	0.0002319060608006	83122	67549	291277424	1326880
AL	NC_063213.1	6700001	6800000	0.0006018013607994	77351	159973	265823593	1297898
AL	NC_063213.1	6800001	6900000	0.0004450550657445	83288	118064	265279533	1646670
AL	NC_063213.1	6900001	7000000	0.0007645051748277	84026	202052	264291213	1702894
AL	NC_063213.1	7000001	7100000	0.0005600932706813	84517	154091	275116678	1600904
AL	NC_063213.1	7100001	7200000	0.0004978362693604	81280	135575	272328491	1447466
AL	NC_063213.1	7200001	7300000	0.0003694954782173	84217	99907	270387612	1642452
AL	NC_063213.1	7300001	7400000	0.0004018520227848	81472	106580	265222007	1543578
AL	NC_063213.1	7400001	7500000	2.0689951866997872e-05	83719	5523	266941172	1651148
AL	NC_063213.1	7500001	7600000	1.6660881783674222e-05	83900	4456	267452831	1654050
AL	NC_063213.1	7600001	7700000	0.0003752235155484	81105	105156	280248960	1339596
AL	NC_063213.1	7700001	7800000	0.0009555168505328	82068	276348	289213110	1287628
AL	NC_063213.1	7800001	7900000	0.000509223905436	79891	146225	287152662	1189456
AL	NC_063213.1	7900001	8000000	0.0006538683228845	81668	188016	287544133	1286446
AL	NC_063213.1	8000001	8100000	0.0003625463982982	84487	101874	280995758	1531560
AL	NC_063213.1	8100001	8200000	0.0006728487522525	83465	190671	283378693	1443682
AL	NC_063213.1	8200001	8300000	0.0002692978523606	86190	71695	266229379	1806306
AL	NC_063213.1	8300001	8400000	0.0006199867666173	84793	167497	270162218	1677672
AL	NC_063213.1	8400001	8500000	0.0005514620371387	83755	142080	257642395	1768966
AL	NC_063213.1	8500001	8600000	0.0005739357756427	82320	158385	275962933	1466086
AL	NC_063213.1	8600001	8700000	0.0005491982339993	81521	147559	268680762	1508640
AL	NC_063213.1	8700001	8800000	0.0006185769099728	83296	176851	285899776	1402072
AL	NC_063213.1	8800001	8900000	0.0005173114443953	84757	144178	278706380	1570212
AL	NC_063213.1	8900001	9000000	0.0002662541373235	82332	71753	269490648	1545928
AL	NC_063213.1	9000001	9100000	0.000355704232239	81241	91186	256353430	1637488
AL	NC_063213.1	9100001	9200000	0.0005126290954754	80353	127597	248907058	1676832
AL	NC_063213.1	9200001	9300000	0.000238446924783	82199	58257	244318521	1844570
AL	NC_063213.1	9300001	9400000	0.0004186357927693	81855	104994	250800342	1743504
AL	NC_063213.1	9400001	9500000	0.0005262512406749	81358	130706	248371861	1744382
AL	NC_063213.1	9500001	9600000	0.0003720823967699	78114	97839	262949822	1377916
AL	NC_063213.1	9600001	9700000	0.0003915543332627	81672	101535	259312671	1630978
AL	NC_063213.1	9700001	9800000	3.1986583767118285e-05	79012	8277	258764739	1481042
AL	NC_063213.1	9800001	9900000	0.0002266729108778	80304	58841	259585496	1545568
AL	NC_063213.1	9900001	10000000	0.0003731940689787	74731	89748	240486137	1449354
AL	NC_063213.1	10000001	10100000	5.722264338668136e-05	84446	15819	276446509	1582230
AL	NC_063213.1	10100001	10200000	3.748656495165315e-05	86788	10049	268069374	1819476
AL	NC_063213.1	10200001	10300000	0.0002867753310915	82982	79487	277175166	1484460
AL	NC_063213.1	10300001	10400000	0.0006209638156706	83583	179408	288918606	1381032
AL	NC_063213.1	10400001	10500000	0.0001454222768728	82942	40751	280225292	1447840
AL	NC_063213.1	10500001	10600000	1.1039415464836424e-05	78103	3162	286428209	1097402
AL	NC_063213.1	10600001	10700000	2.911354061699222e-05	84769	8662	297524788	1344412
AL	NC_063213.1	10700001	10800000	2.0468869508591624e-05	83328	5677	277347999	1504274
AL	NC_063213.1	10800001	10900000	2.633374428983707e-05	80626	6632	251844171	1655042
AL	NC_063213.1	10900001	11000000	0.0004043808363806	82078	112158	277357357	1433270
AL	NC_063213.1	11000001	11100000	0.0006198158676152	74116	148041	238846741	1435190
AL	NC_063213.1	11100001	11200000	0.0003889179943098	80054	94239	242310722	1743596
AL	NC_063213.1	11200001	11300000	0.0005208937754672	76078	125092	240148771	1535018
AL	NC_063213.1	11300001	11400000	0.0003499531829765	79883	84323	240955088	1750316
AL	NC_063213.1	11400001	11500000	0.0005313066735849	80047	126267	237653706	1801128
AL	NC_063213.1	11500001	11600000	0.0001290942777346	79697	31431	243473224	1706836
AL	NC_063213.1	11600001	11700000	0.0003891183784836	74399	93572	240471808	1433052
